msa,Unemployment (%),Remote (%),Travel_Time,Household_Income,Worker_Income
"Jackson, MS Metro Area",6.0,6.0,25.1,60085,36741
"Jackson, OH Micro Area",5.9,5.0,28.3,56549,37589
"Jackson, TN Metro Area",6.6,6.0,22.0,55807,34528
"Jackson, WY-ID Micro Area",1.9,14.1,20.1,102435,45533
"Jacksonville, FL Metro Area",4.5,12.9,26.3,73194,41483
"Jacksonville, IL Micro Area",5.9,7.9,21.3,62004,37993
"Jacksonville, NC Metro Area",6.4,8.3,22.0,59976,31016
"Jacksonville, TX Micro Area",5.8,8.8,26.9,56971,30756
"Jamestown, ND Micro Area",4.7,5.1,15.6,59167,36956
"Jamestown-Dunkirk-Fredonia, NY Micro Area",5.4,6.1,19.0,54625,34938
"Janesville-Beloit, WI Metro Area",3.9,6.7,23.2,70630,41294
"Jasper, AL Micro Area",5.7,3.9,30.0,52987,36516
"Jasper, IN Micro Area",2.2,3.8,20.2,67610,40394
"Jayuya, PR Micro Area",19.8,2.5,23.2,18363,17586
"Jefferson, GA Micro Area",3.6,11.5,30.7,82056,41455
"Jefferson City, MO Metro Area",3.5,6.3,21.4,70195,38572
"Jennings, LA Micro Area",4.0,2.8,31.4,52470,35377
"Jesup, GA Micro Area",6.2,3.7,26.8,49847,32269
"Johnson City, TN Metro Area",5.6,7.3,22.0,54217,33699
"Johnstown, PA Metro Area",5.0,7.8,23.9,54221,35619
"Jonesboro, AR Metro Area",5.8,4.3,20.2,52709,34127
"Joplin, MO Metro Area",4.2,7.3,19.9,56930,33209
"Juneau, AK Micro Area",4.5,10.4,16.0,95711,52020
"Kahului-Wailuku-Lahaina, HI Metro Area",5.4,8.5,22.7,95379,43332
"Kalamazoo-Portage, MI Metro Area",6.4,9.3,20.4,67905,37041
"Kalispell, MT Micro Area",3.2,13.7,19.0,68025,36003
"Kankakee, IL Metro Area",5.2,5.9,24.7,65489,37969
"Kansas City, MO-KS Metro Area",4.2,13.0,23.4,78827,45704
"Kapaa, HI Micro Area",4.1,8.6,21.1,88869,40084
"Kearney, NE Micro Area",2.7,4.7,16.7,70727,36228
"Keene, NH Micro Area",3.5,11.1,23.3,76551,41017
"Kendallville, IN Micro Area",3.4,4.7,24.4,70286,41624
"Kennett, MO Micro Area",5.7,4.1,23.0,44868,32246
"Kennewick-Richland, WA Metro Area",5.1,8.8,22.3,82146,42591
"Kerrville, TX Micro Area",3.3,9.1,21.1,66713,34074
"Ketchikan, AK Micro Area",4.1,4.2,14.0,82763,46905
"Key West, FL Micro Area",3.4,10.3,19.4,80111,40709
"Kill Devil Hills, NC Micro Area",5.1,12.4,23.0,79742,38484
"Killeen-Temple, TX Metro Area",7.5,7.7,23.3,63394,34829
"Kingsport-Bristol, TN-VA Metro Area",6.0,7.5,23.5,53644,35286
"Kingston, NY Metro Area",5.1,14.2,28.1,77197,43402
"Kingsville, TX Micro Area",7.5,5.5,20.2,52407,30765
"Kinston, NC Micro Area",7.1,2.5,23.6,43063,30679
"Kirksville, MO Micro Area",5.0,5.9,19.0,51618,28874
"Klamath Falls, OR Micro Area",7.6,7.2,16.9,57219,35283
"Knoxville, TN Metro Area",4.2,10.1,24.1,66715,38567
"Kokomo, IN Metro Area",5.8,5.5,20.5,62014,36846
"Laconia, NH Micro Area",2.7,10.0,26.0,80719,42595
"La Crosse-Onalaska, WI-MN Metro Area",2.9,8.9,19.6,69043,39726
"Lafayette, LA Metro Area",6.0,6.7,25.7,58150,38909
"Lafayette-West Lafayette, IN Metro Area",3.5,7.7,19.3,57188,32122
"La Grande, OR Micro Area",6.3,7.2,16.9,61946,34551
"LaGrange, GA-AL Micro Area",4.4,4.4,23.1,52767,34517
"Lake Charles, LA Metro Area",5.5,4.5,22.2,64764,37200
"Lake City, FL Micro Area",6.9,6.3,25.3,53501,34992
"Lake Havasu City-Kingman, AZ Metro Area",7.5,6.5,21.1,53592,33132
"Lakeland-Winter Haven, FL Metro Area",4.6,8.8,29.5,60901,35090
"Lamesa, TX Micro Area",9.5,4.1,21.8,45268,28387
"Lancaster, PA Metro Area",3.4,9.1,23.8,81458,42337
"Lansing-East Lansing, MI Metro Area",5.4,11.8,22.4,68270,37302
"Laramie, WY Micro Area",4.4,7.9,14.3,55887,24688
"Laredo, TX Metro Area",5.9,4.9,21.8,59984,29927
"Las Cruces, NM Metro Area",6.8,7.5,22.5,51232,28890
"Las Vegas, NM Micro Area",7.0,11.9,23.8,42301,27063
"Las Vegas-Henderson-Paradise, NV Metro Area",7.7,9.2,25.1,69911,39294
"Laurel, MS Micro Area",3.7,2.1,27.0,48389,33322
"Laurinburg, NC Micro Area",10.8,4.5,24.4,41948,30566
"Lawrence, KS Metro Area",4.8,11.7,20.2,66153,31737
"Lawrenceburg, TN Micro Area",6.3,5.5,26.1,51038,35725
"Lawton, OK Metro Area",6.4,10.7,18.7,57196,33044
"Lebanon, MO Micro Area",5.9,4.6,20.0,49202,34228
"Lebanon, NH-VT Micro Area",3.1,12.0,23.9,74152,42195
"Lebanon, PA Metro Area",4.4,8.5,22.2,72532,40278
"Levelland, TX Micro Area",5.3,3.6,22.3,53283,35024
"Lewisburg, PA Micro Area",3.5,6.6,18.9,64914,31755
"Lewisburg, TN Micro Area",5.8,9.6,30.5,65325,40177
"Lewiston, ID-WA Metro Area",4.1,7.6,16.5,64488,37571
"Lewiston-Auburn, ME Metro Area",4.8,10.9,24.4,64500,39659
"Lewistown, PA Micro Area",3.9,5.3,24.8,58012,36844
"Lexington, NE Micro Area",2.0,2.1,19.3,68128,39282
"Lexington-Fayette, KY Metro Area",4.7,9.4,21.8,68089,37896
"Liberal, KS Micro Area",2.7,3.4,14.9,57131,35800
"Lima, OH Metro Area",6.1,4.5,19.0,58976,36032
"Lincoln, IL Micro Area",5.2,6.7,21.1,62547,37175
"Lincoln, NE Metro Area",3.1,8.8,19.1,70899,37549
"Little Rock-North Little Rock-Conway, AR Metro Area",4.6,7.6,23.3,62664,40726
"Lock Haven, PA Micro Area",5.3,7.2,23.8,59011,34849
"Logan, UT-ID Metro Area",2.3,10.7,17.7,71739,29764
"Logansport, IN Micro Area",4.2,3.0,21.3,55862,35311
"London, KY Micro Area",6.0,7.0,23.3,45127,30947
"Longview, TX Metro Area",4.7,5.0,23.6,62910,35462
"Longview, WA Metro Area",5.5,6.9,27.5,70912,41020
"Los Alamos, NM Micro Area",1.9,11.8,16.0,135801,83135
"Los Angeles-Long Beach-Anaheim, CA Metro Area",6.6,13.5,30.1,89105,42463
"Louisville/Jefferson County, KY-IN Metro Area",4.7,10.3,23.8,69771,41335
"Lubbock, TX Metro Area",4.6,5.7,17.0,61535,34207
"Ludington, MI Micro Area",4.8,7.7,19.4,60744,34205
"Lufkin, TX Micro Area",6.0,4.4,22.4,57055,33359
"Lumberton, NC Micro Area",6.4,3.2,24.8,39393,32332
"Lynchburg, VA Metro Area",4.3,8.5,23.0,64307,35653
"Macomb, IL Micro Area",8.0,5.2,19.3,48904,24324
"Macon-Bibb County, GA Metro Area",6.5,6.2,24.4,54700,34951
"Madera, CA Metro Area",11.1,7.5,29.5,73543,32111
"Madison, IN Micro Area",3.4,4.9,22.3,57801,35275
"Madison, WI Metro Area",2.4,14.4,21.7,82996,46979
"Madisonville, KY Micro Area",7.7,3.3,22.1,54466,38024
"Magnolia, AR Micro Area",3.2,2.6,20.7,47441,30170
"Malone, NY Micro Area",5.1,6.3,20.3,60270,37203
"Malvern, AR Micro Area",4.6,2.4,28.0,50260,32626
"Manchester-Nashua, NH Metro Area",3.7,13.9,27.4,95112,50211
"Manhattan, KS Metro Area",4.3,8.6,17.6,61270,31584
"Manitowoc, WI Micro Area",2.0,6.7,20.0,66412,41131
"Mankato, MN Metro Area",3.1,9.8,17.4,73472,35049
"Mansfield, OH Metro Area",4.8,4.6,22.6,56557,33822
"Marietta, OH Micro Area",5.2,6.5,23.3,59053,35168
"Marinette, WI-MI Micro Area",4.1,5.8,21.1,58291,37990
"Marion, IN Micro Area",7.3,6.9,22.1,53033,31660
"Marion, NC Micro Area",5.5,4.0,24.6,53532,35498
"Marion, OH Micro Area",5.7,4.8,23.6,55106,35605
"Marquette, MI Micro Area",5.6,5.6,18.3,63115,29948
"Marshall, MN Micro Area",3.0,9.3,15.2,68919,39644
"Marshall, MO Micro Area",2.7,6.7,17.2,55396,33079
"Marshalltown, IA Micro Area",5.6,6.1,19.9,70828,40317
"Martin, TN Micro Area",4.0,5.0,21.0,47769,31250
"Martinsville, VA Micro Area",5.0,6.1,23.1,42458,32747
"Maryville, MO Micro Area",2.3,5.5,15.8,53917,28334
"Mason City, IA Micro Area",3.0,7.4,17.4,63785,38652
"Mayagüez, PR Metro Area",21.4,3.0,22.7,17675,16024
"Mayfield, KY Micro Area",3.7,6.7,21.0,52526,34408
"Maysville, KY Micro Area",4.7,5.5,25.4,48460,32626
"McAlester, OK Micro Area",6.3,6.4,20.9,53054,34048
"McAllen-Edinburg-Mission, TX Metro Area",7.6,7.9,22.9,49371,27396
"McComb, MS Micro Area",7.2,2.8,25.5,40131,27920
"McMinnville, TN Micro Area",3.9,5.7,27.3,52948,34091
"McPherson, KS Micro Area",2.1,5.8,15.0,71250,37585
"Meadville, PA Micro Area",5.6,6.5,22.5,58734,34541
"Medford, OR Metro Area",5.5,11.3,18.8,67690,37199
"Memphis, TN-MS-AR Metro Area",6.8,7.1,24.3,62178,39034
"Menomonie, WI Micro Area",3.7,8.4,23.2,69721,34209
"Merced, CA Metro Area",10.7,5.4,30.5,64772,34633
"Meridian, MS Micro Area",6.3,3.5,25.1,45386,29622
"Mexico, MO Micro Area",3.9,4.3,22.6,51745,32955
"Miami, OK Micro Area",3.8,3.6,20.1,46186,30417
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",5.2,11.0,29.6,69085,37974
"Michigan City-La Porte, IN Metro Area",5.0,5.0,24.5,66854,38244
"Middlesborough, KY Micro Area",10.0,4.2,24.4,33658,25186
"Midland, MI Metro Area",5.0,9.3,24.7,73643,42934
"Midland, TX Metro Area",3.6,5.4,21.0,89345,50104
"Milledgeville, GA Micro Area",6.9,4.8,27.9,51988,33713
"Milwaukee-Waukesha, WI Metro Area",3.8,11.6,22.9,72937,45320
"Minden, LA Micro Area",5.3,7.1,28.8,34263,23657
"Mineral Wells, TX Micro Area",7.3,7.5,29.6,65242,37286
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3.9,16.1,24.8,94673,51083
"Minot, ND Micro Area",3.7,5.0,20.2,78112,45460
"Missoula, MT Metro Area",4.5,10.3,17.9,66840,34642
"Mitchell, SD Micro Area",1.5,7.7,14.3,57432,37256
"Moberly, MO Micro Area",5.3,5.3,22.1,51480,32785
"Mobile, AL Metro Area",5.9,6.3,26.3,55247,36872
"Modesto, CA Metro Area",8.2,6.6,30.8,74872,39756
"Monroe, LA Metro Area",6.6,5.4,23.6,47351,35444
"Monroe, MI Metro Area",5.7,6.9,26.6,72573,44277
"Montgomery, AL Metro Area",5.6,6.1,23.6,60849,36521
"Montrose, CO Micro Area",4.3,11.5,21.1,65033,37193
"Morehead City, NC Micro Area",4.9,8.5,24.0,66965,35949
"Morgan City, LA Micro Area",5.9,3.6,22.5,47322,36594
"Morgantown, WV Metro Area",6.0,10.1,23.5,60670,33165
"Morristown, TN Metro Area",6.0,5.2,25.6,52913,33737
"Moscow, ID Micro Area",5.3,9.5,18.5,62258,27361
"Moses Lake, WA Micro Area",5.4,8.1,20.0,66387,36616
"Moultrie, GA Micro Area",6.1,4.2,23.1,47235,33480
"Mountain Home, AR Micro Area",5.1,5.7,17.4,47403,30575
"Mountain Home, ID Micro Area",6.4,3.2,22.0,55000,34424
"Mount Airy, NC Micro Area",4.9,4.1,25.9,52743,34851
"Mount Gay-Shamrock, WV Micro Area",13.3,4.1,27.1,42194,33236
"Mount Pleasant, MI Micro Area",7.2,5.3,18.6,52638,23021
"Mount Pleasant, TX Micro Area",4.4,3.6,21.1,56096,33708
"Mount Sterling, KY Micro Area",5.0,5.7,28.5,51889,35155
"Mount Vernon, IL Micro Area",6.5,4.7,19.7,58384,35911
"Mount Vernon, OH Micro Area",3.3,10.1,27.5,71246,36433
"Mount Vernon-Anacortes, WA Metro Area",5.1,10.6,26.6,82029,44391
"Muncie, IN Metro Area",6.1,5.7,21.0,53377,28511
"Murray, KY Micro Area",4.7,4.2,16.6,48276,29054
"Muscatine, IA Micro Area",3.5,4.5,19.2,67427,39595
"Muskegon, MI Metro Area",7.5,5.2,22.3,61347,35607
"Muskogee, OK Micro Area",5.7,6.4,21.4,50289,34137
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",5.4,9.3,23.4,63296,33006
"Nacogdoches, TX Micro Area",6.6,6.2,21.0,51153,26832
"Napa, CA Metro Area",5.2,11.0,25.6,105809,48702
"Naples-Marco Island, FL Metro Area",4.3,11.7,25.5,82011,39572
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",3.8,14.1,27.7,79020,43535
"Natchez, MS-LA Micro Area",8.9,2.2,21.8,37726,31552
"Natchitoches, LA Micro Area",8.9,2.7,24.0,41310,28658
"New Bern, NC Metro Area",5.0,6.4,21.3,60258,33936
"Newberry, SC Micro Area",3.9,3.4,26.0,56706,35427
"New Castle, IN Micro Area",4.5,6.4,25.8,57632,37372
"New Castle, PA Micro Area",6.8,9.8,23.7,57585,36741
"New Haven-Milford, CT Metro Area",6.4,10.6,25.4,81544,46763
"New Orleans-Metairie, LA Metro Area",6.7,8.6,26.1,62748,39943
"New Philadelphia-Dover, OH Micro Area",5.5,6.1,23.2,61953,37234
"Newport, OR Micro Area",7.7,11.8,21.2,57794,32352
"Newport, TN Micro Area",6.2,4.7,29.5,45110,32661
"New Ulm, MN Micro Area",2.7,7.7,15.7,67038,40869
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",6.5,13.0,36.4,93610,51762
"Niles, MI Metro Area",6.6,8.6,21.5,60379,35974
"Nogales, AZ Micro Area",9.8,5.8,23.3,51885,32114
"Norfolk, NE Micro Area",2.3,6.1,16.3,63350,39268
"North Platte, NE Micro Area",3.3,3.8,15.5,63119,37168
"North Port-Sarasota-Bradenton, FL Metro Area",4.3,13.5,25.5,74469,38948
"North Vernon, IN Micro Area",5.0,3.7,24.6,66892,39169
"North Wilkesboro, NC Micro Area",6.0,7.6,27.6,49119,31917
"Norwalk, OH Micro Area",4.4,4.1,22.9,64144,37920
"Norwich-New London, CT Metro Area",5.1,10.6,24.4,84755,46532
"Oak Harbor, WA Micro Area",5.5,11.9,27.1,82850,43493
"Ocala, FL Metro Area",5.9,9.0,26.4,55265,33621
"Ocean City, NJ Metro Area",6.5,7.4,22.4,83870,45589
"Odessa, TX Metro Area",5.8,3.4,26.2,70566,45857
"Ogden-Clearfield, UT Metro Area",2.7,13.2,23.1,91022,41896
"Ogdensburg-Massena, NY Micro Area",6.3,6.3,20.5,58339,33481
"Oil City, PA Micro Area",6.7,7.6,24.2,59278,35135
"Okeechobee, FL Micro Area",6.1,6.3,26.7,50476,33781
"Oklahoma City, OK Metro Area",4.5,8.4,23.4,67963,39475
"Olean, NY Micro Area",5.4,6.8,22.4,56889,35062
"Olympia-Lacey-Tumwater, WA Metro Area",5.5,14.5,26.6,88895,47622
"Omaha-Council Bluffs, NE-IA Metro Area",3.4,11.0,20.7,79634,45495
"Oneonta, NY Micro Area",5.0,8.5,23.1,65778,32458
"Ontario, OR-ID Micro Area",5.3,6.0,19.5,55155,32065
"Opelousas, LA Micro Area",6.9,5.7,29.8,44478,33204
"Orangeburg, SC Micro Area",9.2,5.6,29.5,41020,29990
"Orlando-Kissimmee-Sanford, FL Metro Area",5.3,13.0,29.4,71551,37051
"Oshkosh-Neenah, WI Metro Area",2.4,9.0,18.6,70041,40739
"Oskaloosa, IA Micro Area",3.3,5.9,18.2,65200,37431
"Othello, WA Micro Area",6.3,5.3,22.3,63105,30224
"Ottawa, IL Micro Area",5.4,4.3,24.6,67181,38225
"Ottawa, KS Micro Area",2.6,8.5,24.1,68217,40329
"Ottumwa, IA Micro Area",4.4,4.2,19.6,56209,37329
"Owatonna, MN Micro Area",3.4,6.9,18.1,79722,46153
"Owensboro, KY Metro Area",4.3,4.5,21.0,64366,38971
"Oxford, MS Micro Area",2.8,5.5,21.7,59748,29232
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",5.3,12.4,26.0,102141,44319
"Ozark, AL Micro Area",7.8,3.5,22.9,52813,33462
"Paducah, KY-IL Micro Area",3.9,5.1,19.3,57960,34102
"Pahrump, NV Micro Area",9.3,8.0,28.4,53602,35803
"Palatka, FL Micro Area",8.9,7.9,31.7,44852,30369
"Palestine, TX Micro Area",3.9,3.2,23.2,57445,34750
"Palm Bay-Melbourne-Titusville, FL Metro Area",4.9,11.6,25.6,71308,39064
"Pampa, TX Micro Area",5.2,3.7,18.9,54852,34403
"Panama City, FL Metro Area",4.0,7.7,24.4,65999,37041
"Paragould, AR Micro Area",7.5,3.0,22.8,54879,34218
"Paris, TN Micro Area",4.0,3.7,22.1,48025,33815
"Paris, TX Micro Area",3.9,5.8,19.4,58246,35330
"Parkersburg-Vienna, WV Metro Area",5.1,7.1,21.1,54175,35178
"Parsons, KS Micro Area",2.4,5.7,14.9,56143,34380
"Payson, AZ Micro Area",6.9,8.8,22.2,55242,34446
"Pearsall, TX Micro Area",2.6,3.9,19.1,56042,32038
"Pecos, TX Micro Area",6.9,1.4,17.9,57329,35212
"Pella, IA Micro Area",2.3,7.4,20.5,74193,44319
"Pensacola-Ferry Pass-Brent, FL Metro Area",5.7,11.9,26.0,69374,36757
"Peoria, IL Metro Area",5.3,8.2,21.0,67718,41129
"Peru, IN Micro Area",4.5,4.3,24.8,59551,33977
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6.1,14.4,29.3,85555,48344
"Phoenix-Mesa-Chandler, AZ Metro Area",4.9,15.9,26.6,79935,43713
"Picayune, MS Micro Area",5.6,6.7,35.1,54220,33621
"Pierre, SD Micro Area",0.4,6.3,13.9,83641,45049
"Pine Bluff, AR Metro Area",6.8,5.8,21.8,47559,33667
"Pinehurst-Southern Pines, NC Micro Area",4.6,10.8,26.2,77981,41506
"Pittsburg, KS Micro Area",3.9,4.0,16.7,49779,30279
"Pittsburgh, PA Metro Area",5.1,13.2,26.6,71283,44740
"Pittsfield, MA Metro Area",5.3,10.5,21.0,69744,40817
"Plainview, TX Micro Area",4.7,2.3,18.2,50721,32891
"Platteville, WI Micro Area",3.1,9.4,20.6,63497,33733
"Plattsburgh, NY Micro Area",4.7,6.4,19.7,67097,41479
"Plymouth, IN Micro Area",3.0,4.3,22.9,66016,39470
"Pocatello, ID Metro Area",5.3,8.7,17.9,60704,33393
"Point Pleasant, WV-OH Micro Area",3.6,5.1,26.8,54605,36144
"Ponca City, OK Micro Area",6.2,3.9,17.8,53746,33000
"Ponce, PR Metro Area",15.0,3.7,25.3,19867,17882
"Pontiac, IL Micro Area",3.7,6.4,21.6,68175,39569
"Poplar Bluff, MO Micro Area",5.0,5.2,21.9,46581,29360
"Portales, NM Micro Area",6.6,3.8,17.2,52644,28327
"Port Angeles, WA Micro Area",5.4,11.4,20.1,66108,38027
"Portland-South Portland, ME Metro Area",3.4,14.9,25.0,84095,45483
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",5.1,17.7,25.8,90451,47443
"Port Lavaca, TX Micro Area",3.4,1.8,18.0,62267,40404
"Port St. Lucie, FL Metro Area",5.5,10.0,27.9,69429,37088
"Portsmouth, OH Micro Area",7.5,6.1,26.8,46360,34384
"Pottsville, PA Micro Area",5.3,5.3,26.7,63574,40362
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",5.2,10.9,33.3,92870,47038
"Prescott Valley-Prescott, AZ Metro Area",4.9,11.0,23.7,62430,34148
"Price, UT Micro Area",6.7,6.2,17.3,53734,30142
"Prineville, OR Micro Area",4.1,10.3,27.3,74969,40257
"Providence-Warwick, RI-MA Metro Area",5.8,9.3,26.3,81136,45920
"Provo-Orem, UT Metro Area",3.4,15.1,21.8,91190,33141
"Pueblo, CO Metro Area",5.9,5.8,22.4,59436,38609
"Pullman, WA Micro Area",6.7,8.9,16.8,49345,23259
"Punta Gorda, FL Metro Area",5.7,13.8,25.7,62164,33412
"Quincy, IL-MO Micro Area",4.1,5.8,17.7,61924,38128
"Racine, WI Metro Area",4.4,7.9,23.7,72658,42688
"Raleigh-Cary, NC Metro Area",4.2,20.1,27.0,91818,49056
"Rapid City, SD Metro Area",3.5,8.1,18.9,68363,36655
"Raymondville, TX Micro Area",8.7,7.9,19.0,42839,27012
"Reading, PA Metro Area",5.4,9.3,25.0,74617,41692
"Red Bluff, CA Micro Area",7.4,9.0,24.2,59029,36794
"Redding, CA Metro Area",6.6,7.4,20.2,68347,38355
"Red Wing, MN Micro Area",4.0,9.0,25.0,78338,45159
"Reno, NV Metro Area",5.0,9.4,22.4,81576,42355
"Rexburg, ID Micro Area",7.5,11.8,17.0,56594,12955
"Richmond, IN Micro Area",4.5,5.4,20.1,54854,34036
"Richmond, VA Metro Area",4.8,14.4,25.3,80877,45473
"Richmond-Berea, KY Micro Area",5.8,6.8,25.6,57096,31411
"Rio Grande City-Roma, TX Micro Area",11.5,8.6,25.0,35979,21218
"Riverside-San Bernardino-Ontario, CA Metro Area",6.9,9.1,33.1,81041,39454
"Riverton, WY Micro Area",8.2,8.7,17.3,60030,33439
"Roanoke, VA Metro Area",4.0,10.5,23.5,65687,40493
"Roanoke Rapids, NC Micro Area",8.8,5.9,24.4,42846,32969
"Rochelle, IL Micro Area",6.0,6.2,27.0,75782,39935
"Rochester, MN Metro Area",3.2,10.8,20.6,86788,48984
"Rochester, NY Metro Area",5.0,10.9,21.2,71349,42043
"Rockford, IL Metro Area",7.5,7.2,23.5,63834,37749
"Rockingham, NC Micro Area",9.6,2.4,24.8,42354,30407
"Rockport, TX Micro Area",4.4,10.6,20.8,58168,35824
"Rock Springs, WY Micro Area",5.7,3.0,20.4,79375,46065
"Rocky Mount, NC Metro Area",7.2,7.5,23.6,53553,34756
"Rolla, MO Micro Area",4.2,6.1,20.3,53242,30733
"Rome, GA Metro Area",4.1,5.1,23.4,57868,33759
"Roseburg, OR Micro Area",6.1,9.3,19.6,56440,34914
"Roswell, NM Micro Area",5.3,3.5,18.3,49673,31208
"Ruidoso, NM Micro Area",5.3,13.6,20.8,47919,26641
"Russellville, AR Micro Area",4.5,4.9,21.1,52259,31714
"Ruston, LA Micro Area",4.2,9.9,18.4,37001,22957
"Rutland, VT Micro Area",4.3,8.1,22.8,62641,38569
"Sacramento-Roseville-Folsom, CA Metro Area",5.7,15.7,27.5,89227,46404
"Safford, AZ Micro Area",6.0,4.2,23.1,64089,32166
"Saginaw, MI Metro Area",6.6,7.0,22.0,56579,35019
"St. Cloud, MN Metro Area",4.3,8.0,21.9,72564,40094
"St. George, UT Metro Area",3.1,13.4,18.5,71976,34305
"St. Joseph, MO-KS Metro Area",4.4,5.9,18.9,61030,36514
"St. Louis, MO-IL Metro Area",4.4,11.9,25.3,75316,44494
"St. Marys, GA Micro Area",4.7,8.6,25.0,68104,38069
"St. Marys, PA Micro Area",6.5,2.6,17.7,61672,37785
"Salem, OH Micro Area",4.9,4.7,24.7,55473,33774
"Salem, OR Metro Area",5.4,11.3,24.7,72154,37569
"Salina, KS Micro Area",3.6,5.5,16.1,60896,35532
"Salinas, CA Metro Area",5.3,8.7,25.0,91043,36654
"Salisbury, MD-DE Metro Area",5.8,9.0,25.4,72964,36760
"Salt Lake City, UT Metro Area",3.6,15.1,22.9,90277,43623
"San Angelo, TX Metro Area",3.1,6.9,19.3,66832,36242
"San Antonio-New Braunfels, TX Metro Area",5.2,11.0,26.8,70910,38358
"San Diego-Chula Vista-Carlsbad, CA Metro Area",6.3,14.9,26.1,96974,46264
"Sandpoint, ID Micro Area",3.5,10.3,23.9,61816,32943
"Sandusky, OH Micro Area",6.1,4.0,20.9,65171,38693
"Sanford, NC Micro Area",5.2,4.7,25.8,60941,36419
"San Francisco-Oakland-Berkeley, CA Metro Area",5.2,20.3,32.6,129315,65360
"San Germán, PR Metro Area",13.5,4.5,25.2,19871,17053
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",4.5,19.1,27.9,151713,69357
"San Juan-Bayamón-Caguas, PR Metro Area",13.0,5.1,30.2,26853,20796
"San Luis Obispo-Paso Robles, CA Metro Area",5.0,13.0,21.6,90158,37744
"Santa Cruz-Watsonville, CA Metro Area",5.9,16.3,26.7,104409,43224
"Santa Fe, NM Metro Area",5.4,15.0,23.6,70522,36978
"Santa Isabel, PR Micro Area",8.6,3.9,25.2,22680,17109
"Santa Maria-Santa Barbara, CA Metro Area",6.0,11.2,20.9,92332,36219
"Santa Rosa-Petaluma, CA Metro Area",5.2,13.0,25.4,99266,46987
"Sault Ste. Marie, MI Micro Area",7.7,6.5,17.9,58408,29063
"Savannah, GA Metro Area",6.1,7.6,24.8,70705,37351
"Sayre, PA Micro Area",4.8,6.6,23.7,60650,39368
"Scottsbluff, NE Micro Area",3.5,6.0,14.0,59842,37264
"Scottsboro, AL Micro Area",6.0,3.9,27.3,46748,33822
"Scottsburg, IN Micro Area",4.8,6.8,22.3,49343,35408
"Scranton--Wilkes-Barre, PA Metro Area",5.4,8.2,23.0,62318,37744
"Searcy, AR Micro Area",5.2,3.7,23.5,51144,31667
"Seattle-Tacoma-Bellevue, WA Metro Area",4.6,18.7,30.2,107206,57183
"Sebastian-Vero Beach, FL Metro Area",5.9,10.9,23.5,67543,34270
"Sebring-Avon Park, FL Metro Area",6.8,6.6,22.1,53679,33783
"Sedalia, MO Micro Area",3.9,6.3,19.0,57581,34158
"Selinsgrove, PA Micro Area",2.2,7.0,23.5,65914,35737
"Selma, AL Micro Area",9.1,4.1,26.0,37180,28574
"Seneca, SC Micro Area",5.8,6.7,25.4,56710,35309
"Seneca Falls, NY Micro Area",4.5,7.3,21.2,64050,38377
"Sevierville, TN Micro Area",3.5,7.1,26.6,60103,32525
"Seymour, IN Micro Area",2.7,3.4,22.5,65609,41534
"Shawano, WI Micro Area",3.4,9.1,23.4,65222,36166
"Shawnee, OK Micro Area",5.8,5.8,24.4,58270,34436
"Sheboygan, WI Metro Area",2.8,7.8,17.8,68969,43955
"Shelby, NC Micro Area",6.4,5.7,24.8,50723,33340
"Shelbyville, TN Micro Area",4.6,6.3,26.4,59955,33930
"Shelton, WA Micro Area",6.2,9.9,35.3,74388,41700
"Sheridan, WY Micro Area",3.0,8.8,15.9,68898,41215
"Sherman-Denison, TX Metro Area",3.9,9.0,25.7,66608,38087
"Show Low, AZ Micro Area",9.7,8.0,23.1,50335,32133
"Shreveport-Bossier City, LA Metro Area",7.5,5.0,21.9,53053,34995
"Sidney, OH Micro Area",4.9,4.8,18.9,73502,42225
"Sierra Vista-Douglas, AZ Metro Area",6.8,8.8,21.7,58421,35100
"Sikeston, MO Micro Area",2.9,4.1,20.2,54621,33728
"Silver City, NM Micro Area",7.7,13.0,19.3,44895,25297
"Sioux City, IA-NE-SD Metro Area",4.1,5.3,17.6,69065,38861
"Sioux Falls, SD Metro Area",2.1,8.9,18.5,78552,44389
"Snyder, TX Micro Area",2.2,3.0,18.5,58932,36313
"Somerset, KY Micro Area",4.9,3.6,22.7,48768,32945
"Somerset, PA Micro Area",5.2,7.3,24.8,57357,34478
"Sonora, CA Micro Area",8.3,11.0,29.6,70432,35743
"South Bend-Mishawaka, IN-MI Metro Area",4.8,7.8,21.9,62448,36449
"Spartanburg, SC Metro Area",4.7,7.0,24.2,61955,37562
"Spearfish, SD Micro Area",2.5,6.2,19.1,62977,32696
"Spencer, IA Micro Area",4.1,7.7,17.6,61756,36353
"Spirit Lake, IA Micro Area",2.1,9.5,16.2,72446,38675
