"Label (Grouping)","EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate","COMMUTING TO WORK!!Workers 16 years and over!!Worked from home","COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars)"
"    Percent","7.4%","2.6%","(X)","(X)","(X)"
"Cleveland, TN Metro Area","","","","",""
"    Estimate","(X)","3,169","24.0","60,001","35,346"
"    Percent","5.7%","5.6%","(X)","(X)","(X)"
"Cleveland-Elyria, OH Metro Area","","","","",""
"    Estimate","(X)","110,030","24.5","66,481","42,298"
"    Percent","5.9%","11.0%","(X)","(X)","(X)"
"Clewiston, FL Micro Area","","","","",""
"    Estimate","(X)","983","30.2","49,259","31,904"
"    Percent","5.8%","5.5%","(X)","(X)","(X)"
"Clinton, IA Micro Area","","","","",""
"    Estimate","(X)","1,223","20.0","61,080","38,631"
"    Percent","4.4%","5.8%","(X)","(X)","(X)"
"Clovis, NM Micro Area","","","","",""
"    Estimate","(X)","575","16.6","55,427","33,649"
"    Percent","7.9%","2.7%","(X)","(X)","(X)"
"Coamo, PR Micro Area","","","","",""
"    Estimate","(X)","410","25.7","20,569","17,201"
"    Percent","7.4%","3.9%","(X)","(X)","(X)"
"Coco, PR Micro Area","","","","",""
"    Estimate","(X)","442","25.9","20,123","16,708"
"    Percent","6.0%","6.0%","(X)","(X)","(X)"
"Coeur d'Alene, ID Metro Area","","","","",""
"    Estimate","(X)","9,341","22.5","71,949","38,621"
"    Percent","3.1%","11.7%","(X)","(X)","(X)"
"Coffeyville, KS Micro Area","","","","",""
"    Estimate","(X)","463","17.5","51,513","31,490"
"    Percent","4.7%","3.4%","(X)","(X)","(X)"
"Coldwater, MI Micro Area","","","","",""
"    Estimate","(X)","937","22.1","60,600","35,925"
"    Percent","4.9%","5.0%","(X)","(X)","(X)"
"College Station-Bryan, TX Metro Area","","","","",""
"    Estimate","(X)","10,865","19.0","58,659","30,267"
"    Percent","4.7%","8.6%","(X)","(X)","(X)"
"Colorado Springs, CO Metro Area","","","","",""
"    Estimate","(X)","50,939","23.8","82,334","42,128"
"    Percent","5.6%","13.4%","(X)","(X)","(X)"
"Columbia, MO Metro Area","","","","",""
"    Estimate","(X)","8,047","19.7","65,863","36,007"
"    Percent","4.0%","7.5%","(X)","(X)","(X)"
"Columbia, SC Metro Area","","","","",""
"    Estimate","(X)","32,694","25.1","63,471","37,617"
"    Percent","5.7%","8.2%","(X)","(X)","(X)"
"Columbus, GA-AL Metro Area","","","","",""
"    Estimate","(X)","9,495","22.2","55,720","35,064"
"    Percent","6.9%","6.8%","(X)","(X)","(X)"
"Columbus, IN Metro Area","","","","",""
"    Estimate","(X)","4,352","19.7","76,912","43,250"
"    Percent","3.6%","10.8%","(X)","(X)","(X)"
"Columbus, MS Micro Area","","","","",""
"    Estimate","(X)","1,234","20.8","53,687","36,270"
"    Percent","6.2%","5.0%","(X)","(X)","(X)"
"Columbus, NE Micro Area","","","","",""
"    Estimate","(X)","927","14.1","69,943","40,662"
"    Percent","1.9%","5.3%","(X)","(X)","(X)"
"Columbus, OH Metro Area","","","","",""
"    Estimate","(X)","154,230","23.9","76,541","44,805"
"    Percent","4.2%","14.3%","(X)","(X)","(X)"
"Concord, NH Micro Area","","","","",""
"    Estimate","(X)","9,505","26.8","88,806","46,674"
"    Percent","3.6%","12.1%","(X)","(X)","(X)"
"Connersville, IN Micro Area","","","","",""
"    Estimate","(X)","330","27.7","52,219","34,324"
"    Percent","4.5%","3.3%","(X)","(X)","(X)"
"Cookeville, TN Micro Area","","","","",""
"    Estimate","(X)","3,360","23.2","52,638","33,232"
"    Percent","4.6%","6.4%","(X)","(X)","(X)"
"Coos Bay, OR Micro Area","","","","",""
"    Estimate","(X)","1,851","19.6","57,563","33,403"
"    Percent","5.8%","7.3%","(X)","(X)","(X)"
"Cordele, GA Micro Area","","","","",""
"    Estimate","(X)","543","20.8","47,463","33,755"
"    Percent","8.2%","6.5%","(X)","(X)","(X)"
"Corinth, MS Micro Area","","","","",""
"    Estimate","(X)","241","22.8","47,716","31,684"
"    Percent","6.4%","1.7%","(X)","(X)","(X)"
"Cornelia, GA Micro Area","","","","",""
"    Estimate","(X)","1,570","26.9","61,292","32,068"
"    Percent","2.3%","7.6%","(X)","(X)","(X)"
"Corning, NY Micro Area","","","","",""
"    Estimate","(X)","2,876","22.1","62,506","39,811"
"    Percent","6.3%","7.0%","(X)","(X)","(X)"
"Corpus Christi, TX Metro Area","","","","",""
"    Estimate","(X)","8,747","20.5","64,005","38,356"
"    Percent","5.5%","4.6%","(X)","(X)","(X)"
"Corsicana, TX Micro Area","","","","",""
"    Estimate","(X)","1,330","26.9","56,261","31,667"
"    Percent","5.6%","6.0%","(X)","(X)","(X)"
"Cortland, NY Micro Area","","","","",""
"    Estimate","(X)","1,418","21.7","65,029","35,089"
"    Percent","5.4%","6.3%","(X)","(X)","(X)"
"Corvallis, OR Metro Area","","","","",""
"    Estimate","(X)","6,673","19.8","72,882","28,722"
"    Percent","6.8%","14.6%","(X)","(X)","(X)"
"Coshocton, OH Micro Area","","","","",""
"    Estimate","(X)","919","25.3","52,048","34,505"
"    Percent","6.1%","6.0%","(X)","(X)","(X)"
"Craig, CO Micro Area","","","","",""
"    Estimate","(X)","259","25.4","63,983","40,645"
"    Percent","5.4%","4.3%","(X)","(X)","(X)"
"Crawfordsville, IN Micro Area","","","","",""
"    Estimate","(X)","1,088","22.4","62,937","39,064"
"    Percent","4.0%","6.1%","(X)","(X)","(X)"
"Crescent City, CA Micro Area","","","","",""
"    Estimate","(X)","662","17.2","61,149","33,059"
"    Percent","6.3%","6.9%","(X)","(X)","(X)"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","","","","",""
"    Estimate","(X)","13,424","26.3","74,279","39,555"
"    Percent","3.8%","9.7%","(X)","(X)","(X)"
"Crossville, TN Micro Area","","","","",""
"    Estimate","(X)","1,498","22.4","56,002","33,961"
"    Percent","5.7%","6.8%","(X)","(X)","(X)"
"Cullman, AL Micro Area","","","","",""
"    Estimate","(X)","1,019","26.2","58,119","33,900"
"    Percent","4.3%","2.6%","(X)","(X)","(X)"
"Cullowhee, NC Micro Area","","","","",""
"    Estimate","(X)","1,378","19.9","51,758","29,658"
"    Percent","6.3%","5.8%","(X)","(X)","(X)"
"Cumberland, MD-WV Metro Area","","","","",""
"    Estimate","(X)","2,630","23.4","57,539","34,909"
"    Percent","6.5%","7.0%","(X)","(X)","(X)"
"Dallas-Fort Worth-Arlington, TX Metro Area","","","","",""
"    Estimate","(X)","526,725","28.0","83,398","45,358"
"    Percent","4.6%","13.7%","(X)","(X)","(X)"
"Dalton, GA Metro Area","","","","",""
"    Estimate","(X)","2,544","22.5","60,017","35,081"
"    Percent","6.0%","3.9%","(X)","(X)","(X)"
"Danville, IL Metro Area","","","","",""
"    Estimate","(X)","2,404","20.3","52,787","37,290"
"    Percent","6.7%","8.0%","(X)","(X)","(X)"
"Danville, KY Micro Area","","","","",""
"    Estimate","(X)","1,693","26.2","53,228","34,698"
"    Percent","6.4%","7.8%","(X)","(X)","(X)"
"Danville, VA Micro Area","","","","",""
"    Estimate","(X)","1,951","23.5","46,853","32,991"
"    Percent","5.6%","4.7%","(X)","(X)","(X)"
"Daphne-Fairhope-Foley, AL Metro Area","","","","",""
"    Estimate","(X)","9,634","26.6","71,039","39,109"
"    Percent","3.4%","9.1%","(X)","(X)","(X)"
"Davenport-Moline-Rock Island, IA-IL Metro Area","","","","",""
"    Estimate","(X)","12,431","20.6","68,395","41,045"
"    Percent","4.8%","6.9%","(X)","(X)","(X)"
"Dayton, TN Micro Area","","","","",""
"    Estimate","(X)","596","27.0","55,568","32,751"
"    Percent","7.9%","4.7%","(X)","(X)","(X)"
"Dayton-Kettering, OH Metro Area","","","","",""
"    Estimate","(X)","33,918","22.0","67,088","39,751"
"    Percent","5.3%","8.9%","(X)","(X)","(X)"
"Decatur, AL Metro Area","","","","",""
"    Estimate","(X)","3,015","24.9","60,036","36,365"
"    Percent","3.9%","4.4%","(X)","(X)","(X)"
"Decatur, IL Metro Area","","","","",""
"    Estimate","(X)","2,719","18.7","59,622","39,428"
"    Percent","7.2%","6.1%","(X)","(X)","(X)"
"Decatur, IN Micro Area","","","","",""
"    Estimate","(X)","848","22.7","61,731","38,655"
"    Percent","3.2%","5.6%","(X)","(X)","(X)"
"Defiance, OH Micro Area","","","","",""
"    Estimate","(X)","746","21.1","69,302","40,240"
"    Percent","4.9%","4.0%","(X)","(X)","(X)"
"Del Rio, TX Micro Area","","","","",""
"    Estimate","(X)","616","18.4","57,250","31,745"
"    Percent","3.4%","2.9%","(X)","(X)","(X)"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","","","","",""
"    Estimate","(X)","34,927","26.9","64,197","37,279"
"    Percent","4.1%","12.1%","(X)","(X)","(X)"
"Deming, NM Micro Area","","","","",""
"    Estimate","(X)","536","21.6","38,241","25,034"
"    Percent","7.0%","6.6%","(X)","(X)","(X)"
"Denver-Aurora-Lakewood, CO Metro Area","","","","",""
"    Estimate","(X)","297,399","27.5","96,920","52,179"
"    Percent","4.3%","18.4%","(X)","(X)","(X)"
"DeRidder, LA Micro Area","","","","",""
"    Estimate","(X)","477","32.7","68,525","42,767"
"    Percent","8.1%","3.3%","(X)","(X)","(X)"
"Des Moines-West Des Moines, IA Metro Area","","","","",""
"    Estimate","(X)","47,053","20.8","81,103","47,030"
"    Percent","4.1%","12.7%","(X)","(X)","(X)"
"Detroit-Warren-Dearborn, MI Metro Area","","","","",""
"    Estimate","(X)","237,569","26.5","72,456","42,843"
"    Percent","6.6%","11.8%","(X)","(X)","(X)"
"Dickinson, ND Micro Area","","","","",""
"    Estimate","(X)","1,136","17.2","78,608","47,447"
"    Percent","2.8%","6.7%","(X)","(X)","(X)"
"Dixon, IL Micro Area","","","","",""
"    Estimate","(X)","742","24.0","64,588","40,232"
"    Percent","3.5%","4.9%","(X)","(X)","(X)"
"Dodge City, KS Micro Area","","","","",""
"    Estimate","(X)","356","12.9","67,997","39,021"
"    Percent","3.2%","2.1%","(X)","(X)","(X)"
"Dothan, AL Metro Area","","","","",""
"    Estimate","(X)","2,551","23.8","54,171","35,300"
"    Percent","4.8%","4.0%","(X)","(X)","(X)"
"Douglas, GA Micro Area","","","","",""
"    Estimate","(X)","432","19.3","46,936","32,336"
"    Percent","4.3%","2.0%","(X)","(X)","(X)"
"Dover, DE Metro Area","","","","",""
"    Estimate","(X)","5,270","26.7","69,278","39,186"
"    Percent","6.0%","6.4%","(X)","(X)","(X)"
"Dublin, GA Micro Area","","","","",""
"    Estimate","(X)","800","26.9","46,411","33,862"
"    Percent","6.4%","3.3%","(X)","(X)","(X)"
"DuBois, PA Micro Area","","","","",""
"    Estimate","(X)","2,236","25.9","56,982","35,389"
"    Percent","6.0%","6.5%","(X)","(X)","(X)"
"Dubuque, IA Metro Area","","","","",""
"    Estimate","(X)","4,894","17.1","73,495","40,612"
"    Percent","4.1%","9.7%","(X)","(X)","(X)"
"Duluth, MN-WI Metro Area","","","","",""
"    Estimate","(X)","11,080","20.4","67,612","38,215"
"    Percent","4.4%","8.0%","(X)","(X)","(X)"
"Dumas, TX Micro Area","","","","",""
"    Estimate","(X)","126","16.6","59,041","39,352"
"    Percent","2.5%","1.3%","(X)","(X)","(X)"
"Duncan, OK Micro Area","","","","",""
"    Estimate","(X)","709","23.7","57,065","35,897"
"    Percent","4.9%","4.1%","(X)","(X)","(X)"
"Durango, CO Micro Area","","","","",""
"    Estimate","(X)","4,525","21.0","81,936","41,397"
"    Percent","3.2%","15.7%","(X)","(X)","(X)"
"Durant, OK Micro Area","","","","",""
"    Estimate","(X)","1,100","20.1","54,289","34,350"
"    Percent","4.8%","5.5%","(X)","(X)","(X)"
"Durham-Chapel Hill, NC Metro Area","","","","",""
"    Estimate","(X)","55,241","24.6","76,040","42,438"
"    Percent","4.0%","17.4%","(X)","(X)","(X)"
"Dyersburg, TN Micro Area","","","","",""
"    Estimate","(X)","616","20.4","53,150","36,852"
"    Percent","4.5%","3.9%","(X)","(X)","(X)"
"Eagle Pass, TX Micro Area","","","","",""
"    Estimate","(X)","1,068","23.1","48,497","31,359"
"    Percent","7.1%","4.8%","(X)","(X)","(X)"
"Easton, MD Micro Area","","","","",""
"    Estimate","(X)","2,376","26.4","81,667","44,991"
"    Percent","3.2%","14.1%","(X)","(X)","(X)"
"East Stroudsburg, PA Metro Area","","","","",""
"    Estimate","(X)","6,990","39.8","80,656","38,423"
"    Percent","6.3%","9.0%","(X)","(X)","(X)"
"Eau Claire, WI Metro Area","","","","",""
"    Estimate","(X)","8,811","19.4","70,009","37,365"
"    Percent","3.2%","9.9%","(X)","(X)","(X)"
"Edwards, CO Micro Area","","","","",""
"    Estimate","(X)","3,961","22.1","98,887","46,602"
"    Percent","4.4%","12.6%","(X)","(X)","(X)"
"Effingham, IL Micro Area","","","","",""
"    Estimate","(X)","1,805","17.9","73,181","41,680"
"    Percent","2.5%","10.4%","(X)","(X)","(X)"
"El Campo, TX Micro Area","","","","",""
"    Estimate","(X)","636","25.0","59,712","36,950"
"    Percent","5.7%","3.6%","(X)","(X)","(X)"
"El Centro, CA Metro Area","","","","",""
"    Estimate","(X)","3,496","22.7","53,847","30,547"
"    Percent","13.2%","5.9%","(X)","(X)","(X)"
"El Dorado, AR Micro Area","","","","",""
"    Estimate","(X)","843","19.1","49,745","36,092"
"    Percent","3.7%","5.3%","(X)","(X)","(X)"
"Elizabeth City, NC Micro Area","","","","",""
"    Estimate","(X)","1,592","30.0","60,668","39,114"
"    Percent","5.6%","6.8%","(X)","(X)","(X)"
"Elizabethtown-Fort Knox, KY Metro Area","","","","",""
"    Estimate","(X)","4,477","24.9","64,111","40,150"
"    Percent","5.9%","6.4%","(X)","(X)","(X)"
"Elk City, OK Micro Area","","","","",""
"    Estimate","(X)","256","19.0","51,499","34,051"
"    Percent","6.2%","3.1%","(X)","(X)","(X)"
"Elkhart-Goshen, IN Metro Area","","","","",""
"    Estimate","(X)","4,722","19.2","63,978","37,896"
"    Percent","3.8%","4.9%","(X)","(X)","(X)"
"Elkins, WV Micro Area","","","","",""
"    Estimate","(X)","487","21.5","51,186","30,605"
"    Percent","7.3%","4.7%","(X)","(X)","(X)"
"Elko, NV Micro Area","","","","",""
"    Estimate","(X)","1,252","29.0","87,631","46,786"
"    Percent","4.7%","4.7%","(X)","(X)","(X)"
"Ellensburg, WA Micro Area","","","","",""
"    Estimate","(X)","2,487","23.5","66,800","37,556"
"    Percent","5.9%","11.5%","(X)","(X)","(X)"
"Elmira, NY Metro Area","","","","",""
"    Estimate","(X)","2,090","20.0","61,358","37,528"
"    Percent","6.3%","5.9%","(X)","(X)","(X)"
"El Paso, TX Metro Area","","","","",""
"    Estimate","(X)","25,299","24.2","55,344","30,834"
"    Percent","6.8%","6.7%","(X)","(X)","(X)"
"Emporia, KS Micro Area","","","","",""
"    Estimate","(X)","828","15.4","56,068","31,536"
"    Percent","2.6%","4.8%","(X)","(X)","(X)"
"Enid, OK Metro Area","","","","",""
"    Estimate","(X)","1,257","18.5","64,165","35,134"
"    Percent","4.6%","4.4%","(X)","(X)","(X)"
"Enterprise, AL Micro Area","","","","",""
"    Estimate","(X)","696","23.1","62,199","34,627"
"    Percent","4.8%","3.1%","(X)","(X)","(X)"
"Erie, PA Metro Area","","","","",""
"    Estimate","(X)","8,676","19.9","59,396","34,765"
"    Percent","5.5%","7.1%","(X)","(X)","(X)"
"Escanaba, MI Micro Area","","","","",""
"    Estimate","(X)","757","19.0","53,852","32,742"
"    Percent","5.2%","5.1%","(X)","(X)","(X)"
"Española, NM Micro Area","","","","",""
"    Estimate","(X)","1,211","28.6","52,031","37,716"
"    Percent","6.0%","7.9%","(X)","(X)","(X)"
"Eufaula, AL-GA Micro Area","","","","",""
"    Estimate","(X)","342","25.9","39,599","30,578"
"    Percent","7.0%","3.9%","(X)","(X)","(X)"
"Eugene-Springfield, OR Metro Area","","","","",""
"    Estimate","(X)","22,132","20.0","65,157","33,552"
"    Percent","6.7%","12.4%","(X)","(X)","(X)"
"Eureka-Arcata, CA Micro Area","","","","",""
"    Estimate","(X)","6,382","18.9","57,881","31,207"
"    Percent","9.2%","10.9%","(X)","(X)","(X)"
"Evanston, WY Micro Area","","","","",""
"    Estimate","(X)","459","20.4","78,164","32,447"
"    Percent","3.4%","4.8%","(X)","(X)","(X)"
"Evansville, IN-KY Metro Area","","","","",""
"    Estimate","(X)","8,392","20.9","64,084","39,554"
"    Percent","4.1%","5.6%","(X)","(X)","(X)"
"Fairbanks, AK Metro Area","","","","",""
"    Estimate","(X)","2,932","19.2","81,655","46,141"
"    Percent","5.5%","6.1%","(X)","(X)","(X)"
"Fairfield, IA Micro Area","","","","",""
"    Estimate","(X)","1,148","16.2","52,210","29,063"
"    Percent","5.2%","15.3%","(X)","(X)","(X)"
"Fairmont, MN Micro Area","","","","",""
"    Estimate","(X)","768","17.6","61,674","40,359"
"    Percent","5.2%","8.0%","(X)","(X)","(X)"
"Fairmont, WV Micro Area","","","","",""
"    Estimate","(X)","1,798","24.3","59,974","37,591"
"    Percent","6.4%","7.2%","(X)","(X)","(X)"
"Fallon, NV Micro Area","","","","",""
"    Estimate","(X)","588","22.8","69,922","41,292"
"    Percent","6.3%","5.1%","(X)","(X)","(X)"
"Fargo, ND-MN Metro Area","","","","",""
"    Estimate","(X)","10,974","18.0","73,641","41,725"
"    Percent","3.1%","7.8%","(X)","(X)","(X)"
"Faribault-Northfield, MN Micro Area","","","","",""
"    Estimate","(X)","4,353","22.4","78,214","36,335"
"    Percent","5.3%","13.4%","(X)","(X)","(X)"
"Farmington, MO Micro Area","","","","",""
"    Estimate","(X)","1,413","25.5","53,083","33,222"
"    Percent","4.8%","5.4%","(X)","(X)","(X)"
"Farmington, NM Metro Area","","","","",""
"    Estimate","(X)","2,135","24.2","50,734","32,904"
"    Percent","8.9%","4.8%","(X)","(X)","(X)"
"Fayetteville, NC Metro Area","","","","",""
"    Estimate","(X)","13,012","24.8","57,488","34,936"
"    Percent","7.1%","5.6%","(X)","(X)","(X)"
"Fayetteville-Springdale-Rogers, AR Metro Area","","","","",""
"    Estimate","(X)","30,020","20.8","73,316","40,442"
"    Percent","3.5%","11.2%","(X)","(X)","(X)"
"Fergus Falls, MN Micro Area","","","","",""
"    Estimate","(X)","2,767","21.5","67,990","40,446"
"    Percent","5.3%","10.0%","(X)","(X)","(X)"
"Fernley, NV Micro Area","","","","",""
"    Estimate","(X)","1,826","29.8","70,026","41,417"
"    Percent","7.2%","7.1%","(X)","(X)","(X)"
"Findlay, OH Micro Area","","","","",""
"    Estimate","(X)","2,488","17.9","67,006","40,370"
"    Percent","3.7%","6.8%","(X)","(X)","(X)"
"Fitzgerald, GA Micro Area","","","","",""
"    Estimate","(X)","203","15.6","38,255","29,929"
"    Percent","5.0%","2.9%","(X)","(X)","(X)"
"Flagstaff, AZ Metro Area","","","","",""
"    Estimate","(X)","6,271","19.2","67,266","31,389"
"    Percent","7.0%","9.5%","(X)","(X)","(X)"
"Flint, MI Metro Area","","","","",""
"    Estimate","(X)","12,614","26.8","58,594","34,720"
"    Percent","8.5%","7.4%","(X)","(X)","(X)"
"Florence, SC Metro Area","","","","",""
"    Estimate","(X)","5,659","22.7","52,401","34,997"
"    Percent","5.1%","6.6%","(X)","(X)","(X)"
"Florence-Muscle Shoals, AL Metro Area","","","","",""
"    Estimate","(X)","3,515","24.6","56,113","35,355"
"    Percent","3.5%","5.2%","(X)","(X)","(X)"
"Fond du Lac, WI Metro Area","","","","",""
"    Estimate","(X)","3,792","20.6","70,368","42,012"
"    Percent","3.3%","7.2%","(X)","(X)","(X)"
"Forest City, NC Micro Area","","","","",""
"    Estimate","(X)","1,445","25.4","50,512","32,995"
"    Percent","6.0%","5.6%","(X)","(X)","(X)"
"Forrest City, AR Micro Area","","","","",""
"    Estimate","(X)","199","20.2","39,822","28,699"
"    Percent","6.6%","2.5%","(X)","(X)","(X)"
"Fort Collins, CO Metro Area","","","","",""
"    Estimate","(X)","33,042","23.3","87,199","42,552"
"    Percent","4.6%","17.4%","(X)","(X)","(X)"
"Fort Dodge, IA Micro Area","","","","",""
"    Estimate","(X)","725","18.3","65,335","36,676"
"    Percent","3.2%","4.1%","(X)","(X)","(X)"
"Fort Leonard Wood, MO Micro Area","","","","",""
"    Estimate","(X)","1,178","18.5","62,541","31,040"
"    Percent","4.7%","4.4%","(X)","(X)","(X)"
"Fort Madison-Keokuk, IA-IL-MO Micro Area","","","","",""
"    Estimate","(X)","1,676","22.2","58,590","35,886"
"    Percent","4.5%","6.5%","(X)","(X)","(X)"
"Fort Morgan, CO Micro Area","","","","",""
"    Estimate","(X)","963","20.9","70,471","40,418"
"    Percent","3.7%","7.2%","(X)","(X)","(X)"
"Fort Payne, AL Micro Area","","","","",""
"    Estimate","(X)","1,156","25.2","47,920","31,564"
"    Percent","3.9%","3.8%","(X)","(X)","(X)"
"Fort Polk South, LA Micro Area","","","","",""
"    Estimate","(X)","976","22.8","56,547","36,540"
"    Percent","6.1%","4.7%","(X)","(X)","(X)"
"Fort Smith, AR-OK Metro Area","","","","",""
"    Estimate","(X)","5,150","21.5","53,224","34,249"
"    Percent","5.2%","5.0%","(X)","(X)","(X)"
"Fort Wayne, IN Metro Area","","","","",""
"    Estimate","(X)","14,821","21.8","66,758","39,504"
"    Percent","4.8%","7.3%","(X)","(X)","(X)"
"Frankfort, IN Micro Area","","","","",""
"    Estimate","(X)","891","20.7","59,515","36,824"
"    Percent","3.4%","5.8%","(X)","(X)","(X)"
"Frankfort, KY Micro Area","","","","",""
"    Estimate","(X)","3,674","22.7","64,669","38,428"
"    Percent","4.9%","10.5%","(X)","(X)","(X)"
"Fredericksburg, TX Micro Area","","","","",""
"    Estimate","(X)","1,132","19.9","70,162","36,463"
"    Percent","3.5%","9.4%","(X)","(X)","(X)"
"Freeport, IL Micro Area","","","","",""
"    Estimate","(X)","1,820","22.2","57,527","34,132"
"    Percent","5.3%","9.1%","(X)","(X)","(X)"
"Fremont, NE Micro Area","","","","",""
"    Estimate","(X)","645","18.3","66,793","41,134"
"    Percent","4.1%","3.6%","(X)","(X)","(X)"
"Fremont, OH Micro Area","","","","",""
"    Estimate","(X)","815","19.6","60,814","38,165"
"    Percent","4.8%","3.0%","(X)","(X)","(X)"
"Fresno, CA Metro Area","","","","",""
"    Estimate","(X)","33,804","23.3","67,756","35,722"
"    Percent","8.6%","8.2%","(X)","(X)","(X)"
"Gadsden, AL Metro Area","","","","",""
"    Estimate","(X)","1,338","24.6","52,177","32,882"
"    Percent","6.0%","3.1%","(X)","(X)","(X)"
"Gaffney, SC Micro Area","","","","",""
"    Estimate","(X)","1,142","25.0","47,011","32,945"
"    Percent","5.9%","4.8%","(X)","(X)","(X)"
"Gainesville, FL Metro Area","","","","",""
"    Estimate","(X)","15,555","23.1","56,638","32,717"
"    Percent","4.9%","10.1%","(X)","(X)","(X)"
"Gainesville, GA Metro Area","","","","",""
"    Estimate","(X)","8,459","27.9","74,153","36,970"
"    Percent","3.9%","8.7%","(X)","(X)","(X)"
"Gainesville, TX Micro Area","","","","",""
"    Estimate","(X)","1,308","24.4","66,374","40,484"
"    Percent","3.9%","6.6%","(X)","(X)","(X)"
"Galesburg, IL Micro Area","","","","",""
"    Estimate","(X)","979","21.2","50,263","33,337"
"    Percent","4.9%","4.8%","(X)","(X)","(X)"
"Gallup, NM Micro Area","","","","",""
"    Estimate","(X)","2,457","25.1","44,029","30,677"
"    Percent","9.6%","10.4%","(X)","(X)","(X)"
"Garden City, KS Micro Area","","","","",""
"    Estimate","(X)","772","15.0","68,481","38,568"
"    Percent","5.1%","3.9%","(X)","(X)","(X)"
"Gardnerville Ranchos, NV Micro Area","","","","",""
"    Estimate","(X)","2,200","25.2","84,262","41,925"
"    Percent","3.1%","10.4%","(X)","(X)","(X)"
"Georgetown, SC Micro Area","","","","",""
"    Estimate","(X)","2,317","28.4","59,782","31,562"
"    Percent","5.0%","9.1%","(X)","(X)","(X)"
"Gettysburg, PA Metro Area","","","","",""
"    Estimate","(X)","4,315","28.3","78,975","38,371"
"    Percent","3.4%","8.5%","(X)","(X)","(X)"
"Gillette, WY Micro Area","","","","",""
"    Estimate","(X)","1,701","21.4","88,151","48,331"
"    Percent","2.9%","5.6%","(X)","(X)","(X)"
"Glasgow, KY Micro Area","","","","",""
"    Estimate","(X)","1,409","23.0","47,855","32,662"
"    Percent","4.9%","6.3%","(X)","(X)","(X)"
"Glens Falls, NY Metro Area","","","","",""
"    Estimate","(X)","4,326","23.7","71,380","42,545"
"    Percent","4.6%","7.3%","(X)","(X)","(X)"
"Glenwood Springs, CO Micro Area","","","","",""
"    Estimate","(X)","4,581","28.3","86,831","42,974"
"    Percent","2.9%","10.5%","(X)","(X)","(X)"
"Gloversville, NY Micro Area","","","","",""
"    Estimate","(X)","1,295","24.6","60,557","37,682"
"    Percent","4.3%","5.4%","(X)","(X)","(X)"
"Goldsboro, NC Metro Area","","","","",""
"    Estimate","(X)","1,994","21.8","54,323","33,858"
"    Percent","5.0%","3.8%","(X)","(X)","(X)"
"Granbury, TX Micro Area","","","","",""
"    Estimate","(X)","2,628","34.8","80,013","44,429"
"    Percent","5.8%","10.0%","(X)","(X)","(X)"
"Grand Forks, ND-MN Metro Area","","","","",""
"    Estimate","(X)","2,841","16.3","65,971","37,581"
"    Percent","3.4%","5.2%","(X)","(X)","(X)"
"Grand Island, NE Metro Area","","","","",""
"    Estimate","(X)","1,279","19.0","63,314","38,206"
"    Percent","2.8%","3.4%","(X)","(X)","(X)"
"Grand Junction, CO Metro Area","","","","",""
"    Estimate","(X)","8,689","19.6","68,077","37,530"
"    Percent","5.3%","12.0%","(X)","(X)","(X)"
"Grand Rapids, MN Micro Area","","","","",""
"    Estimate","(X)","1,453","24.2","63,962","36,864"
"    Percent","6.2%","7.7%","(X)","(X)","(X)"
"Grand Rapids-Kentwood, MI Metro Area","","","","",""
"    Estimate","(X)","51,863","22.0","76,898","40,067"
"    Percent","4.3%","9.5%","(X)","(X)","(X)"
"Grants, NM Micro Area","","","","",""
"    Estimate","(X)","740","22.6","49,866","29,650"
"    Percent","7.3%","8.4%","(X)","(X)","(X)"
"Grants Pass, OR Metro Area","","","","",""
"    Estimate","(X)","3,550","20.2","56,068","31,545"
"    Percent","8.1%","10.8%","(X)","(X)","(X)"
"Great Bend, KS Micro Area","","","","",""
"    Estimate","(X)","934","15.2","54,634","35,070"
"    Percent","4.1%","7.6%","(X)","(X)","(X)"
"Great Falls, MT Metro Area","","","","",""
"    Estimate","(X)","2,530","17.0","61,351","37,407"
"    Percent","3.3%","6.3%","(X)","(X)","(X)"
"Greeley, CO Metro Area","","","","",""
"    Estimate","(X)","18,822","28.2","89,182","44,811"
"    Percent","4.9%","11.3%","(X)","(X)","(X)"
"Green Bay, WI Metro Area","","","","",""
"    Estimate","(X)","15,201","20.0","74,208","41,950"
"    Percent","2.7%","9.0%","(X)","(X)","(X)"
"Greeneville, TN Micro Area","","","","",""
"    Estimate","(X)","1,523","23.8","51,975","33,413"
"    Percent","5.4%","5.3%","(X)","(X)","(X)"
"Greensboro-High Point, NC Metro Area","","","","",""
"    Estimate","(X)","32,282","23.0","59,567","36,037"
"    Percent","5.1%","8.9%","(X)","(X)","(X)"
"Greensburg, IN Micro Area","","","","",""
"    Estimate","(X)","980","22.5","71,566","45,651"
"    Percent","3.1%","7.5%","(X)","(X)","(X)"
"Greenville, MS Micro Area","","","","",""
